outer_cv,model,fold,n_train,n_test,R2,RMSE,MAE,SpearmanR,best_params
random_cv_mixed,Ridge,1,91,2,0.11491716445979472,1.3171037763436904,1.2731771982979083,0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,2,91,2,-0.35963830118588325,2.9150882289240827,2.6994077430567076,-0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,3,91,2,0.7657692911396144,0.3387817104590934,0.329317122921136,0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,4,91,2,0.5028128524396869,2.9262272039022394,2.501983349038733,0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,5,91,2,0.9977384334916445,0.2425352446188539,0.22166022888710302,0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,6,91,2,0.8093571745546607,2.4887718655431375,1.9722841226287482,0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,7,91,2,-4.3370202966877285,1.7326493923719466,1.5809015981143704,0.9999999999999999,{'model__alpha': np.float64(0.46415888336127775)}
random_cv_mixed,Ridge,8,91,2,-1.810432542586029,5.364590313908501,4.035087818314072,-0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,9,91,2,-1.5889925336075432,1.689486391866567,1.5243088006071535,0.9999999999999999,{'model__alpha': np.float64(10.0)}
random_cv_mixed,Ridge,10,91,2,-1.536854582776669,2.628038546446661,2.598314161654544,0.9999999999999999,{'model__alpha': np.float64(21.54434690031882)}
random_cv_mixed,Ridge,11,91,2,-0.21329828192012346,2.8638953168333585,2.1567960643851887,0.9999999999999999,{'model__alpha': np.float64(0.46415888336127775)}
random_cv_mixed,Ridge,12,91,2,0.901529981015669,1.5376167129079312,1.514725627414359,0.9999999999999999,{'model__alpha': np.float64(21.54434690031882)}
random_cv_mixed,Ridge,13,91,2,0.5983238318296387,3.992809426291418,3.7791261815277517,0.9999999999999999,{'model__alpha': np.float64(21.54434690031882)}
random_cv_mixed,Ridge,14,91,2,0.3089130738533652,6.941491785506825,6.808823328248414,0.9999999999999999,{'model__alpha': np.float64(464.1588833612773)}
random_cv_mixed,Ridge,15,91,2,-3.197676878992363,3.6878819243483525,3.0923511601294154,-0.9999999999999999,{'model__alpha': np.float64(0.021544346900318822)}
random_cv_mixed,Ridge,16,91,2,-4.6656796301351955,2.3802688146793725,2.1682431713833497,-0.9999999999999999,{'model__alpha': np.float64(46.41588833612773)}
random_cv_mixed,Ridge,17,91,2,-64.15259121504327,2.0179288765811783,1.9346298078862656,-0.9999999999999999,{'model__alpha': np.float64(0.046415888336127774)}
random_cv_mixed,Ridge,18,91,2,-1.3359827007082359,1.604811804396652,1.3391243081372899,0.9999999999999999,{'model__alpha': np.float64(0.046415888336127774)}
random_cv_mixed,Ridge,19,91,2,-0.5650643796688799,3.0024607952299336,2.4660447070666116,-0.9999999999999999,{'model__alpha': np.float64(0.046415888336127774)}
random_cv_mixed,Ridge,20,91,2,-0.004105848833218628,6.813945586079182,4.835743742905408,0.9999999999999999,{'model__alpha': np.float64(46.41588833612773)}
random_cv_mixed,Ridge,21,91,2,0.5027177101776673,2.8207298057696555,2.2076823175792644,0.9999999999999999,{'model__alpha': np.float64(0.1)}
random_cv_mixed,Ridge,22,91,2,-2.5414863294850836,3.3873906930750817,2.4156814008129825,-0.9999999999999999,{'model__alpha': np.float64(100.0)}
random_cv_mixed,Ridge,23,91,2,-1.9581632085405545,3.353865769597148,3.17453856350067,-0.9999999999999999,{'model__alpha': np.float64(0.1)}
random_cv_mixed,Ridge,24,91,2,-243.52727640851884,7.818683975077203,5.604620264331337,-0.9999999999999999,{'model__alpha': np.float64(0.1)}
random_cv_mixed,Ridge,25,91,2,-1.3376706722588478,1.6053915149163367,1.3796277002621284,-0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,26,91,2,-0.08543600609013713,3.0734356741274724,2.955495699264282,-0.9999999999999999,{'model__alpha': np.float64(0.046415888336127774)}
random_cv_mixed,Ridge,27,91,2,-14.738373280327458,6.149100894113436,5.81359927732521,-0.9999999999999999,{'model__alpha': np.float64(0.021544346900318822)}
random_cv_mixed,Ridge,28,91,2,-1.0576332837768714,14.165147217318419,11.446829091986059,-0.9999999999999999,{'model__alpha': np.float64(0.1)}
random_cv_mixed,Ridge,29,91,2,-0.3506373604333719,11.168446470950165,8.215174239644858,0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,30,91,2,-7.480275257053728,2.4898379906708255,1.9483716911781537,-0.9999999999999999,{'model__alpha': np.float64(0.1)}
random_cv_mixed,Ridge,31,91,2,-0.5264525002372209,2.6810281942506733,2.5689669984821943,-0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
random_cv_mixed,Ridge,32,91,2,-4.395168435064543,4.517749115329441,4.504751618583868,-0.9999999999999999,{'model__alpha': np.float64(0.1)}
random_cv_mixed,Ridge,33,91,2,-2.8187709147498956,4.406647883683943,4.406555902930989,0.9999999999999999,{'model__alpha': np.float64(0.46415888336127775)}
random_cv_mixed,Ridge,34,91,2,-0.6449697858368735,7.7787491745412005,7.724648257070982,-0.9999999999999999,{'model__alpha': np.float64(1.0)}
random_cv_mixed,Ridge,35,91,2,-0.3207505481644082,7.602216759304582,5.382790676950176,0.9999999999999999,{'model__alpha': np.float64(0.21544346900318823)}
