outer_cv,model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,SpearmanR_mean
random_cv_mixed,GPR,-2.205658255,5.713885948,3.553213908,2.488718951,2.978722021,1.940294689,0.441860465
random_cv_mixed,RandomForest,-4.310360011,17.79004794,3.659114919,2.555391157,3.063360669,2.037974699,0.348837209
random_cv_mixed,SVR_RBF,-9.367914767,44.54132967,3.7712732,2.730041802,3.250076509,2.147238036,0.162790698
random_cv_mixed,HistGB,-7.742472439,29.4254856,3.849123783,2.830561804,3.32319734,2.338643735,0.302325581
random_cv_mixed,Ridge,-8.537992678,38.01150028,4.086697583,2.838278295,3.466074285,2.302095037,0.069767442
random_cv_mixed,ElasticNet,-7.918250403,34.29556559,4.095549602,2.822169674,3.479399546,2.304100893,0.209302326
random_cv_mixed,PLSR,-9.008011097,39.62723965,4.268152378,2.881134498,3.60855408,2.355123675,-0.023255814
