outer_cv,model,fold,n_train,n_test,R2,RMSE,MAE,SpearmanR,best_params,fit_seconds,fold_seconds
leave_one_site_out,Ridge,1,91,2,-15.803295789515474,4.714059681594436,3.970766315803388,,{'model__alpha': np.float64(1.0)},0.3116950000403449,0.31479470001067966
leave_one_site_out,Ridge,2,91,2,-4722.733979646597,3.43647129321873,3.4291007516862253,,{'model__alpha': np.float64(1.0)},0.23581510002259165,0.23839869996299967
leave_one_site_out,Ridge,3,91,2,0.4497281943952406,3.301023694323966,2.6406181450546526,,{'model__alpha': np.float64(0.46415888336127775)},0.23608359997160733,0.23951519996626303
leave_one_site_out,Ridge,4,91,2,0.659281933465572,4.144345272054504,3.2798826071687452,,{'model__alpha': np.float64(0.46415888336127775)},0.2583396999980323,0.26168860000325367
leave_one_site_out,Ridge,5,91,2,0.584490841825511,3.706449991857982,3.411261408902686,,{'model__alpha': np.float64(0.46415888336127775)},0.23592269996879622,0.24048949999269098
leave_one_site_out,Ridge,6,91,2,-0.7367986668771689,1.6473457187231757,1.2722020922624062,,{'model__alpha': np.float64(0.46415888336127775)},0.23911150003550574,0.2416220000013709
leave_one_site_out,Ridge,7,91,2,-3.8878969120216915,3.5373741807696195,3.171206259316767,,{'model__alpha': np.float64(0.46415888336127775)},0.21759830001974478,0.2198672999511473
leave_one_site_out,Ridge,8,91,2,-3.4761507913289913,4.337167704915281,3.8353271976570573,,{'model__alpha': np.float64(0.46415888336127775)},0.2381174999754876,0.24038370000198483
leave_one_site_out,Ridge,9,91,2,-19.437453951949212,3.8426632015157565,3.7184688856405623,,{'model__alpha': np.float64(1.0)},0.21426470001460984,0.2165404999977909
leave_one_site_out,Ridge,10,91,2,-7.174825474142072,1.7154991025037416,1.6328507054035377,,{'model__alpha': np.float64(1.0)},0.2318430999876,0.23434379999525845
leave_one_site_out,Ridge,11,91,2,-10.935205500995963,3.6274735098754434,3.3670720574054283,,{'model__alpha': np.float64(1.0)},0.22573660005582497,0.22861200000625104
leave_one_site_out,Ridge,12,91,2,-11.5397157587579,3.8952607188861026,3.349182944597179,,{'model__alpha': np.float64(1.0)},0.21501699998043478,0.21735059999627993
leave_one_site_out,Ridge,13,91,2,-0.09155913545171224,2.402987271406063,2.1746600746700775,,{'model__alpha': np.float64(1.0)},0.21923640003660694,0.22236050001811236
leave_one_site_out,Ridge,14,91,2,-33.59292717775665,6.763811513679484,5.7933475235413905,,{'model__alpha': np.float64(1.0)},0.22592749999603257,0.22913059999700636
leave_one_site_out,Ridge,15,91,2,-23.459153628247076,4.203776694403319,3.518322546056841,,{'model__alpha': np.float64(1.0)},0.2223853999748826,0.22489389998372644
leave_one_site_out,Ridge,16,91,2,-19.70655128592229,2.7302671046862867,2.0930664625888458,,{'model__alpha': np.float64(1.0)},0.23058759997365996,0.23293930001091212
leave_one_site_out,Ridge,17,91,2,-119.19091710597004,4.385264728263871,3.6889699203929855,,{'model__alpha': np.float64(2.154434690031882)},0.2173213000060059,0.21962460002396256
leave_one_site_out,Ridge,18,91,2,0.7781128477362378,0.9185455331571517,0.8486268204542782,,{'model__alpha': np.float64(1.0)},0.23816599999554455,0.24045809998642653
leave_one_site_out,Ridge,19,91,2,0.6047961297944418,1.2258722268069522,0.9718502027293874,,{'model__alpha': np.float64(1.0)},0.3746003999840468,0.3785572999622673
leave_one_site_out,Ridge,20,91,2,-26.26245128726544,9.398422323493453,7.346666829161473,,{'model__alpha': np.float64(0.21544346900318823)},0.8346649000304751,0.8387205000035465
leave_one_site_out,Ridge,21,91,2,0.8903486569424018,1.2417616565780545,1.2417581916316656,,{'model__alpha': np.float64(0.46415888336127775)},0.2540068000089377,0.2564334000344388
leave_one_site_out,Ridge,22,91,2,-229.5517759683312,6.073572602260795,5.880691574987889,,{'model__alpha': np.float64(0.46415888336127775)},0.24300489999586716,0.24632420000853017
leave_one_site_out,Ridge,23,91,2,-66.72891362994118,6.172318358351412,4.470902312276841,,{'model__alpha': np.float64(0.46415888336127775)},0.26365909999003634,0.2670582999708131
leave_one_site_out,Ridge,24,91,2,0.7758557954971996,2.6275847958148764,2.6243460261622173,,{'model__alpha': np.float64(0.46415888336127775)},0.24333330005174503,0.24585119995754212
leave_one_site_out,Ridge,25,91,2,0.6320358283726808,3.882243226519301,3.307023894100073,,{'model__alpha': np.float64(0.46415888336127775)},0.23219050001353025,0.23494170000776649
leave_one_site_out,Ridge,26,91,2,-12.561162307521293,1.1047645032661553,1.086959775485254,,{'model__alpha': np.float64(0.46415888336127775)},0.2178880000137724,0.2201888000126928
leave_one_site_out,Ridge,27,91,2,-3.3273508070699105,1.7681942648102917,1.7398977500918926,,{'model__alpha': np.float64(0.46415888336127775)},0.214003800007049,0.21628400002373382
leave_one_site_out,Ridge,28,91,2,0.42587790105880474,5.8722405066256895,4.604382152052794,,{'model__alpha': np.float64(1.0)},0.24561530002392828,0.24807349999900907
leave_one_site_out,Ridge,29,91,2,0.050792350955834786,6.040491869811407,4.386271647655125,,{'model__alpha': np.float64(0.46415888336127775)},0.22438139998121187,0.22660880000330508
leave_one_site_out,Ridge,30,91,2,0.10935063600532202,2.6424781955047942,1.962503386658712,,{'model__alpha': np.float64(0.46415888336127775)},0.21289399999659508,0.21522239997284487
leave_one_site_out,Ridge,31,91,2,0.5137831758232141,2.649711482617077,2.0181886229860773,,{'model__alpha': np.float64(0.46415888336127775)},0.22850050003034994,0.23080980003578588
leave_one_site_out,Ridge,32,91,2,-3.405720839731152,4.722707036344617,3.77558649608447,,{'model__alpha': np.float64(0.46415888336127775)},0.23507960001006722,0.23803180002141744
leave_one_site_out,Ridge,33,91,2,-208.3149760594299,0.7233860934166284,0.6619433183658812,,{'model__alpha': np.float64(1.0)},0.22068940004101023,0.22396029997617006
leave_one_site_out,Ridge,34,91,2,-0.38408298126525375,3.3529410992928326,3.027520031638076,,{'model__alpha': np.float64(1.0)},0.23458660003961995,0.2375838999869302
leave_one_site_out,Ridge,35,91,2,-0.9779300863394169,5.8365144488796235,5.026710417903202,,{'model__alpha': np.float64(1.0)},0.2389405999565497,0.24283020000439137
leave_one_site_out,Ridge,36,91,2,-0.6094384461353615,11.132284862122946,8.022430916418777,,{'model__alpha': np.float64(2.154434690031882)},0.24417649995302781,0.24804829998174682
leave_one_site_out,Ridge,37,91,2,-2.134954052137915,11.437947740840514,9.211534154660287,,{'model__alpha': np.float64(4.641588833612772)},0.23648930003400892,0.23990119999507442
leave_one_site_out,Ridge,38,91,2,0.05496632243143906,4.476651403935853,4.474594201128384,,{'model__alpha': np.float64(464.1588833612773)},0.2351992999901995,0.23789160000160336
leave_one_site_out,Ridge,39,91,2,-2.141266536500235,5.015784042816908,4.66154706861766,,{'model__alpha': np.float64(464.1588833612773)},0.2311805000063032,0.2345478999777697
leave_one_site_out,Ridge,40,91,2,-0.2707729756886501,4.39077767411388,4.262935214257079,,{'model__alpha': np.float64(215.44346900318823)},0.24330839997855946,0.24735929997405037
leave_one_site_out,Ridge,41,91,2,-0.44092528333429226,2.6348461128188694,2.5765717595418547,,{'model__alpha': np.float64(215.44346900318823)},0.2392789000296034,0.24274759995751083
leave_one_site_out,Ridge,42,91,2,-2.2262721813439077,6.044154682054212,5.227766969834769,,{'model__alpha': np.float64(2.154434690031882)},0.2480885999975726,0.2514005999546498
leave_one_site_out,Ridge,43,91,2,-0.6493068231801324,8.880612335759263,6.882904071684978,,{'model__alpha': np.float64(215.44346900318823)},0.2346728999982588,0.2379194999812171
leave_one_site_out,Ridge,44,92,1,,0.16878638747589747,0.16878638747589747,,{'model__alpha': np.float64(1.0)},0.24735590000636876,0.24962339998455718
leave_one_site_out,Ridge,45,92,1,,4.130456366498342,4.130456366498342,,{'model__alpha': np.float64(1.0)},0.23003999999491498,0.23243979999097064
leave_one_site_out,Ridge,46,92,1,,0.19709541644423467,0.19709541644423467,,{'model__alpha': np.float64(1.0)},0.23426560004008934,0.23659459996270016
leave_one_site_out,Ridge,47,92,1,,0.6103830406632191,0.6103830406632191,,{'model__alpha': np.float64(2.154434690031882)},0.22504090005531907,0.2283047999953851
leave_one_site_out,Ridge,48,92,1,,1.2959726525169408,1.2959726525169408,,{'model__alpha': np.float64(1.0)},0.21760420000646263,0.21998880000319332
leave_one_site_out,Ridge,49,92,1,,0.1712944069083271,0.1712944069083271,,{'model__alpha': np.float64(1.0)},0.22654329997021705,0.22887200000695884
leave_one_site_out,Ridge,50,92,1,,2.6182339257143,2.6182339257143,,{'model__alpha': np.float64(1.0)},0.21514119999483228,0.21751220000442117
leave_one_site_out,ElasticNet,1,91,2,-13.879944994061091,4.436071150764582,3.873057592581077,,"{'model__alpha': np.float64(0.01623776739188721), 'model__l1_ratio': 0.1}",2.791522499988787,2.7941959000309
leave_one_site_out,ElasticNet,2,91,2,-5384.956862203737,3.6694539315147763,3.668918133051485,,"{'model__alpha': np.float64(0.01623776739188721), 'model__l1_ratio': 0.1}",2.859269000007771,2.8615614000009373
leave_one_site_out,ElasticNet,3,91,2,0.6883898049107261,2.4840814979093064,2.1007680783310443,,"{'model__alpha': np.float64(0.007847599703514606), 'model__l1_ratio': 0.1}",3.6660458000260405,3.6692605999996886
