outer_cv,model,fold,n_train,n_test,R2,RMSE,MAE,SpearmanR,best_params,fit_seconds,fold_seconds
leave_one_site_out,Ridge,1,91,2,-3.6462106603888182,2.4788331122454,1.869964648283247,,{'model__alpha': np.float64(100.0)},0.5282946999650449,0.5383092999691144
leave_one_site_out,Ridge,2,91,2,-1289.1041251266201,1.795900975225674,1.5901617696172705,,{'model__alpha': np.float64(100.0)},0.5362146000261419,0.5460011000395752
leave_one_site_out,Ridge,3,91,2,0.5619356553132386,2.9452961117109413,2.9428216705817576,,{'model__alpha': np.float64(46.41588833612773)},0.5465853000059724,0.5559731000103056
leave_one_site_out,Ridge,4,91,2,0.5823603088446782,4.588378453347084,3.366983269951244,,{'model__alpha': np.float64(46.41588833612773)},0.6598240999737754,0.6693058999953791
leave_one_site_out,Ridge,5,91,2,0.6979681552188229,3.160051877434556,2.44163599242855,,{'model__alpha': np.float64(100.0)},0.7884434000006877,0.8003446999937296
leave_one_site_out,Ridge,6,91,2,0.2994476277825977,1.046237583720682,0.8469561541281281,,{'model__alpha': np.float64(46.41588833612773)},2.3714790000231005,2.384703100018669
leave_one_site_out,Ridge,7,91,2,-4.146031511308399,3.6295785800764127,3.2982109448312706,,{'model__alpha': np.float64(46.41588833612773)},0.5630293000140227,0.5736074000014924
leave_one_site_out,Ridge,8,91,2,-1.0759968268527569,2.953705581951036,2.60157255052492,,{'model__alpha': np.float64(46.41588833612773)},0.533454799966421,0.5413449000334367
leave_one_site_out,Ridge,9,91,2,-23.448920747883122,4.202897243610123,3.2658308238738565,,{'model__alpha': np.float64(100.0)},0.5689840000122786,0.5780539999832399
leave_one_site_out,Ridge,10,91,2,-6.924347707756144,1.6890130771525154,1.6724971734150484,,{'model__alpha': np.float64(100.0)},0.6123237000429071,0.6194441000116058
leave_one_site_out,Ridge,11,91,2,-5.718690532823672,2.7216458829976595,2.481273594910884,,{'model__alpha': np.float64(46.41588833612773)},0.4597417999757454,0.4662870999891311
leave_one_site_out,Ridge,12,91,2,-30.08069551088197,6.132506956226567,4.846333152540759,,{'model__alpha': np.float64(46.41588833612773)},0.5291701000533067,0.5350547999842092
leave_one_site_out,Ridge,13,91,2,0.8325434895596373,0.9411933596395157,0.8850203046645593,,{'model__alpha': np.float64(46.41588833612773)},0.505684099975042,0.5121306999935769
leave_one_site_out,Ridge,14,91,2,-14.895568684707529,4.584963422485036,3.875982021740831,,{'model__alpha': np.float64(46.41588833612773)},0.4950583000318147,0.5022100000060163
leave_one_site_out,Ridge,15,91,2,-13.798726329181187,3.269874580596846,3.2374608460785934,,{'model__alpha': np.float64(46.41588833612773)},0.4164582999655977,0.4226951000164263
leave_one_site_out,Ridge,16,91,2,-47.92052088678538,4.196592369916664,3.834802154131668,,{'model__alpha': np.float64(100.0)},0.42869520001113415,0.4349876000196673
leave_one_site_out,Ridge,17,91,2,-268.9452798680187,6.572004624076506,6.56393117269862,,{'model__alpha': np.float64(46.41588833612773)},0.4339732999796979,0.44122640002751723
leave_one_site_out,Ridge,18,91,2,0.11768323018460125,1.8316685063687301,1.7249789729531049,,{'model__alpha': np.float64(46.41588833612773)},0.43561560002854094,0.4427105000359006
leave_one_site_out,Ridge,19,91,2,-0.1720566202315732,2.1111004946308354,1.8180903649588727,,{'model__alpha': np.float64(46.41588833612773)},0.4191937000141479,0.42647319997195154
leave_one_site_out,Ridge,20,91,2,-55.09515068584571,13.481405276236604,11.807309797895892,,{'model__alpha': np.float64(0.046415888336127774)},0.3991706000524573,0.4049128000042401
leave_one_site_out,Ridge,21,91,2,0.19673418271064946,3.3609411711054227,3.263638401026863,,{'model__alpha': np.float64(46.41588833612773)},0.4453745000064373,0.45016489998670295
leave_one_site_out,Ridge,22,91,2,-35.09152466612305,2.4030488855992265,1.8372379722935195,,{'model__alpha': np.float64(21.54434690031882)},0.42455259995767847,0.4294318000320345
leave_one_site_out,Ridge,23,91,2,-56.33015057164624,5.678750716183179,5.639794034483451,,{'model__alpha': np.float64(21.54434690031882)},0.45583930000429973,0.46243509999476373
leave_one_site_out,Ridge,24,91,2,0.9586519157906769,1.1285496727471394,1.1249458255568534,,{'model__alpha': np.float64(21.54434690031882)},0.4917534999549389,0.49807199998758733
leave_one_site_out,Ridge,25,91,2,0.854385861916327,2.4422029186591447,2.4332007905560324,,{'model__alpha': np.float64(21.54434690031882)},0.42739890003576875,0.4323053000262007
leave_one_site_out,Ridge,26,91,2,-32.26996609194429,1.7304036951749098,1.5747451159197094,,{'model__alpha': np.float64(21.54434690031882)},0.4585840000072494,0.4633138999924995
leave_one_site_out,Ridge,27,91,2,-22.41228957221718,4.112831046362943,3.1899605928543737,,{'model__alpha': np.float64(21.54434690031882)},0.4270791999879293,0.43329120002454147
leave_one_site_out,Ridge,28,91,2,0.34884965723760697,6.253776256164449,4.709082409921309,,{'model__alpha': np.float64(10.0)},0.42134649999206886,0.42823359998874366
leave_one_site_out,Ridge,29,91,2,0.5550573255496601,4.135649453939618,3.7754827643578253,,{'model__alpha': np.float64(10.0)},0.400662400003057,0.40575000003445894
leave_one_site_out,Ridge,30,91,2,0.6429668873307544,1.6730629406351951,1.4650587514576268,,{'model__alpha': np.float64(21.54434690031882)},0.4424163000076078,0.44849010003963485
leave_one_site_out,Ridge,31,91,2,0.4439779810080845,2.8335415921145852,2.833535049805751,,{'model__alpha': np.float64(21.54434690031882)},0.40308630000799894,0.40883700002450496
