outer_cv,model,fold,n_train,n_test,R2,RMSE,MAE,SpearmanR,best_params,fit_seconds,fold_seconds
leave_one_day_out,Ridge,1,81,12,-0.5992912991514232,8.039174907308402,6.037347797726716,0.2937062937062937,{'model__alpha': np.float64(10000.0)},4.86808819998987,4.874540199991316
leave_one_day_out,Ridge,2,81,12,-0.9306060870562098,7.523310490629142,6.189252213531795,0.45884483676161686,{'model__alpha': np.float64(4641.588833612773)},0.3865388000267558,0.39407360000768676
leave_one_day_out,Ridge,3,81,12,-3.3397630392684317,3.670748512637385,2.744213175896533,-0.5849396010625192,{'model__alpha': np.float64(1000.0)},0.3898386000073515,0.3964822000125423
leave_one_day_out,Ridge,4,81,12,-0.4068130479440948,1.9414377177288182,1.5873465782147569,-0.05964948999491283,{'model__alpha': np.float64(464.1588833612773)},0.4072234000195749,0.4145017999690026
leave_one_day_out,Ridge,5,81,12,-0.18391439515922392,2.202968785211002,1.9455061096071358,0.2867132867132868,{'model__alpha': np.float64(4641.588833612773)},0.4079785999492742,0.4149693999788724
leave_one_day_out,Ridge,6,81,12,-2.6396722499443572,4.595862899123678,4.0139837596308805,0.535902748278835,{'model__alpha': np.float64(10000.0)},0.4418354000081308,0.4490698999725282
leave_one_day_out,Ridge,7,81,12,-0.1610059077532442,3.528085232388697,3.1426354993397667,-0.4265734265734266,{'model__alpha': np.float64(464.1588833612773)},0.4154473000089638,0.4223189000040293
leave_one_day_out,Ridge,8,88,5,-0.9005062095554721,7.303353250890817,5.1320573472292335,-0.19999999999999998,{'model__alpha': np.float64(1000.0)},0.38953719998244196,0.3962427999940701
leave_one_day_out,Ridge,9,89,4,0.06319668678257928,3.511422519172755,3.424115800858288,0.7999999999999999,{'model__alpha': np.float64(1000.0)},0.41206809994764626,0.41794720001053065
leave_one_day_out,ElasticNet,1,81,12,-0.804336424771922,8.538988892721065,6.377685185185185,,"{'model__alpha': np.float64(5.455594781168514), 'model__l1_ratio': 0.7}",4.364096300036181,4.3703771000145935
leave_one_day_out,ElasticNet,2,81,12,-1.2573756600468413,8.135121978323054,6.872345679012347,,"{'model__alpha': np.float64(5.455594781168514), 'model__l1_ratio': 0.7}",4.483840600005351,4.489700999984052
leave_one_day_out,ElasticNet,3,81,12,-2.878607697398015,3.4702403134596533,2.4724290844008423,-0.6024527627709778,"{'model__alpha': np.float64(2.6366508987303554), 'model__l1_ratio': 0.1}",4.28760370000964,4.2945258999825455
leave_one_day_out,ElasticNet,4,81,12,-4.184938372063425,3.7271516896567807,2.6967270403701877,-0.2666683082125515,"{'model__alpha': np.float64(0.00379269019073225), 'model__l1_ratio': 0.3}",4.722567600023467,4.729554200021084
leave_one_day_out,ElasticNet,5,81,12,-0.5709957996431774,2.5376732681795375,1.8984577955741646,0.5944055944055945,"{'model__alpha': np.float64(0.29763514416313164), 'model__l1_ratio': 0.5}",4.333680099982303,4.340062199975364
leave_one_day_out,ElasticNet,6,81,12,-4.982462945368845,5.8921790355590415,5.489107490030001,0.6129606597960531,"{'model__alpha': np.float64(1.2742749857031321), 'model__l1_ratio': 0.7}",4.2159917000099085,4.221987300028559
leave_one_day_out,ElasticNet,7,81,12,-0.2299208644609967,3.631285855903947,3.232176711112242,-0.44755244755244755,"{'model__alpha': np.float64(2.6366508987303554), 'model__l1_ratio': 0.1}",4.749727200018242,4.756745999970008
leave_one_day_out,ElasticNet,8,88,5,-0.7646311498334457,7.037438805073841,4.947540622587033,-0.6,"{'model__alpha': np.float64(5.455594781168514), 'model__l1_ratio': 0.1}",4.366398900048807,4.375429699954111
leave_one_day_out,ElasticNet,9,89,4,-0.13488324168712018,3.864866280569182,3.8259870364550115,0.7999999999999999,"{'model__alpha': np.float64(5.455594781168514), 'model__l1_ratio': 0.1}",4.4325133000384085,4.439576000033412
leave_one_day_out,PLSR,1,81,12,0.06930212690098736,6.132704670873416,5.04990924896855,0.1398601398601399,{'model__n_components': 13},0.2750055000069551,0.28255670005455613
leave_one_day_out,PLSR,2,81,12,-0.2187401170175396,5.977474108329707,4.714061820404447,0.4518395720782334,{'model__n_components': 13},0.25778760004322976,0.26510329998563975
leave_one_day_out,PLSR,3,81,12,-2.7538523784768327,3.413974068742452,3.005880924624312,-0.0665500144921429,{'model__n_components': 4},0.24040179996518418,0.24718030000803992
leave_one_day_out,PLSR,4,81,12,-3.8818175728938904,3.616563060220261,2.9391849263537737,-0.3438617658530269,{'model__n_components': 10},0.25010599999222904,0.2561268999706954
leave_one_day_out,PLSR,5,81,12,-1.8146930877923153,3.396751033488189,3.041320254915174,0.37762237762237766,{'model__n_components': 10},0.2571949999546632,0.2631433000206016
leave_one_day_out,PLSR,6,81,12,-9.549522363650343,7.82442306138178,7.390202000194001,0.1120842349341354,{'model__n_components': 6},0.2536983999889344,0.25955710001289845
leave_one_day_out,PLSR,7,81,12,-3.5681449032502,6.998287650009635,6.461639417352632,0.5594405594405596,{'model__n_components': 9},0.2574743000441231,0.2635957999737002
leave_one_day_out,PLSR,8,88,5,-0.07196117580561445,5.4850070356568645,4.178545461919738,0.7999999999999999,{'model__n_components': 12},0.2587931999587454,0.26480519998585805
leave_one_day_out,PLSR,9,89,4,-5.509629548280432,9.256291396167986,8.310543889832465,0.6000000000000001,{'model__n_components': 10},0.25447990000247955,0.26089269999647513
leave_one_day_out,SVR_RBF,1,81,12,-0.2248977903627556,7.035542907558115,5.3983893315498745,0.1958041958041958,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 'scale'}",0.48178850003750995,0.4881329999770969
